Name,Group,Protocol,Port,IcmpType,Program,Service,RemoteAddress,Description
Active Directory Domain Controller - W32Time (NTP-UDP-In),Active Directory Domain Services,UDP,123,,%systemroot%\System32\svchost.exe,w32time,Client,Inbound rule for the Active Directory Domain Controller service to allow NTP traffic for the Windows Time service. [UDP 123]
Active Directory Domain Controller - Echo Request (ICMPv4-In),Active Directory Domain Services,ICMPv4,,8,System,,Client,Inbound rule for the Active Directory Domain Controller service to allow Echo requests (ping).
Active Directory Domain Controller - Echo Request (ICMPv6-In),Active Directory Domain Services,ICMPv6,,128,System,,Client,Inbound rule for the Active Directory Domain Controller service to allow Echo requests (ping).
Active Directory Domain Controller - LDAP (UDP-In),Active Directory Domain Services,UDP,389,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Active Directory Domain Controller service to allow remote LDAP traffic. [UDP 389]
Active Directory Domain Controller - LDAP (TCP-In),Active Directory Domain Services,TCP,389,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Active Directory Domain Controller service to allow remote LDAP traffic. [TCP 389]
Active Directory Domain Controller - Secure LDAP (TCP-In),Active Directory Domain Services,TCP,636,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Active Directory Domain Controller service to allow remote Secure LDAP traffic. [TCP 636]
Active Directory Domain Controller - LDAP for Global Catalog (TCP-In),Active Directory Domain Services,TCP,3268,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Active Directory Domain Controller service to allow remote Global Catalog traffic. [TCP 3268]
Active Directory Domain Controller - Secure LDAP for Global Catalog (TCP-In),Active Directory Domain Services,TCP,3269,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Active Directory Domain Controller service to allow remote Secure Global Catalog traffic. [TCP 3269]
Active Directory Domain Controller (RPC-EPMAP),Active Directory Domain Services,TCP,135,,%systemroot%\system32\svchost.exe,rpcss,Client,Inbound rule for the RPCSS service to allow RPC/TCP traffic to the Active Directory Domain Controller service.
Active Directory Domain Controller (RPC),Active Directory Domain Services,TCP,RPC,,%systemroot%\System32\lsass.exe,,Client,Inbound rule to allow remote RPC/TCP access to the Active Directory Domain Controller service.
Active Directory Domain Controller - SAM/LSA (NP-UDP-In),Active Directory Domain Services,UDP,445,,System,,Client,Inbound rule for the Active Directory Domain Controller service to be remotely managed over Named Pipes. [UDP 445]
Active Directory Domain Controller - SAM/LSA (NP-TCP-In),Active Directory Domain Services,TCP,445,,System,,Client,Inbound rule for the Active Directory Domain Controller service to be remotely managed over Named Pipes. [TCP 445]
Kerberos Key Distribution Center (TCP-In),Kerberos Key Distribution Center,TCP,88,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Kerberos Key Distribution Center service. [TCP 88]
Kerberos Key Distribution Center (UDP-In),Kerberos Key Distribution Center,UDP,88,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Kerberos Key Distribution Center service. [UDP 88]
Kerberos Key Distribution Center - PCR (UDP-In),Kerberos Key Distribution Center,UDP,464,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Kerberos Key Distribution Center service to allow for password change requests. [UDP 464]
Kerberos Key Distribution Center - PCR (TCP-In),Kerberos Key Distribution Center,TCP,464,,%systemroot%\System32\lsass.exe,,Client,Inbound rule for the Kerberos Key Distribution Center service to allow for password change requests. [TCP 464]
Active Directory Web Services (TCP-In),Active Directory Web Services,TCP,9389,,%systemroot%\ADWS\Microsoft.ActiveDirectory.WebServices.exe,adws,Management,Inbound rule for the Active Directory Web Services. [TCP]
"DNS (UDP, Incoming)",DNS Service,UDP,53,,%systemroot%\System32\dns.exe,dns,Client,Inbound rule to allow remote UDP access to the DNS service.
"DNS (TCP, Incoming)",DNS Service,TCP,53,,%systemroot%\System32\dns.exe,dns,Client,Inbound rule to allow remote TCP access to the DNS service.
File Replication (RPC),File Replication,TCP,RPC,,%SystemRoot%\system32\NTFRS.exe,NTFRS,DC,Inbound rule to allow File Replication RPC traffic.
DFS Replication (RPC-In),DFS Replication,TCP,RPC,,%SystemRoot%\system32\dfsrs.exe,Dfsr,DC,Inbound rule to allow DFS Replication RPC traffic.
File and Printer Sharing (NB-Name-In),File and Printer Sharing,UDP,137,,System,,Client,Inbound rule for File and Printer Sharing to allow NetBIOS Name Resolution. [UDP 137]
Active Directory Domain Controller - NetBIOS name resolution (UDP-In),Active Directory Domain Services,UDP,138,,System,,Client,Inbound rule for the Active Directory Domain Controller service to allow NetBIOS name resolution. [UDP 138]
File and Printer Sharing (NB-Session-In),File and Printer Sharing,TCP,139,,System,,Client,Inbound rule for File and Printer Sharing to allow NetBIOS Session Service connections. [TCP 139]
Windows Internet Naming Service (WINS) (UDP-In),Windows Internet Naming Service (WINS),UDP,42,,%SystemRoot%\System32\wins.exe,WINS,Client,Inbound rule for the Windows Internet Naming Service to allow WINS requests. [UDP 42]
Windows Internet Naming Service (WINS) (TCP-In),Windows Internet Naming Service (WINS),TCP,42,,%SystemRoot%\System32\wins.exe,WINS,Client,Inbound rule for the Windows Internet Naming Service to allow WINS requests. [TCP 42]
