Name,Group,Protocol,Port,IcmpType,Program,Service,RemoteAddress,Description
"Active Directory Domain Controller -  Echo Request (ICMPv4-Out)","Active Directory Domain Services",ICMPv4,,8,"System",,Any,"Outbound rule for the Active Directory Domain Controller service to allow Echo requests (ping)."
"Active Directory Domain Controller -  Echo Request (ICMPv6-Out)","Active Directory Domain Services",ICMPv6,,128,"System",,Any,"Outbound rule for the Active Directory Domain Controller service to allow Echo requests (ping)."
"Active Directory Domain Controller (TCP-Out)","Active Directory Domain Services",TCP,Any,,"%systemroot%\System32\lsass.exe",,Any,"Outbound rule for the Active Directory Domain Controller service. [TCP]"
"Active Directory Domain Controller (UDP-Out)","Active Directory Domain Services",UDP,Any,,"%systemroot%\System32\lsass.exe",,Any,"Outbound rule for the Active Directory Domain Controller service. [UDP]"
"Active Directory Web Services (TCP-Out)","Active Directory Web Services",TCP,Any,,"%systemroot%\ADWS\Microsoft.ActiveDirectory.WebServices.exe",adws,Any,"Outbound rule for the Active Directory Web Services. [TCP]"
"Core Networking - DNS (UDP-Out)","Core Networking",UDP,53,,"%SystemRoot%\system32\svchost.exe",dnscache,Any,"Outbound rule to allow DNS requests. DNS responses based on requests that matched this rule will be permitted regardless of source address.  This behavior is classified as loose source mapping. [LSM] [UDP 53]"
"Core Networking - Group Policy (NP-Out)","Core Networking",TCP,445,,"System",,Any,"Core Networking - Group Policy (NP-Out)"
"Core Networking - Group Policy (TCP-Out)","Core Networking",TCP,Any,,"%SystemRoot%\system32\svchost.exe",gpsvc,Any,"Outbound rule to allow remote RPC traffic for Group Policy updates. [TCP]"
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","Core Networking",ICMPv6,,136,"System",,Any,"Neighbor Discovery Advertisement messages are sent by nodes to notify other nodes of link-layer address changes or in response to a Neighbor Discovery Solicitation request."
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","Core Networking",ICMPv6,,135,"System",,Any,"Neighbor Discovery Solicitations are sent by nodes to discover the link-layer address of another on-link IPv6 node."
"Core Networking - Packet Too Big (ICMPv6-Out)","Core Networking",ICMPv6,,2,"System",,Any,"Packet Too Big error messages are sent from any node that a packet traverses which is unable to forward the packet because the packet is too large for the next link."
"Core Networking - Parameter Problem (ICMPv6-Out)","Core Networking",ICMPv6,,4,"System",,Any,"Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets."
"Core Networking - Time Exceeded (ICMPv6-Out)","Core Networking",ICMPv6,,3,"System",,Any,"Time Exceeded error messages are generated from any node that a packet traverses if the Hop Limit value is decremented to zero at any point on the path."
"All Outgoing (TCP)","DNS Service",TCP,Any,,"%systemroot%\System32\dns.exe",dns,Any,"Outbound rule to allow all TCP traffic from the DNS service."
"All Outgoing (UDP)","DNS Service",UDP,Any,,"%systemroot%\System32\dns.exe",dns,Any,"Outbound rule to allow all UDP traffic from the DNS service."
"File and Printer Sharing (NB-Datagram-Out)","File and Printer Sharing",UDP,138,,"System",,Any,"Outbound rule for File and Printer Sharing to allow NetBIOS Datagram transmission and reception. [UDP 138]"
"File and Printer Sharing (NB-Name-Out)","File and Printer Sharing",UDP,137,,"System",,Any,"Outbound rule for File and Printer Sharing to allow NetBIOS Name Resolution. [UDP 137]"
"File and Printer Sharing (NB-Session-Out)","File and Printer Sharing",TCP,139,,"System",,Any,"Outbound rule for File and Printer Sharing to allow NetBIOS Session Service connections. [TCP 139]"
"File and Printer Sharing (SMB-Out)","File and Printer Sharing",TCP,445,,"System",,Any,"Outbound rule for File and Printer Sharing to allow Server Message Block transmission and reception via Named Pipes. [TCP 445]"
"Windows Management Instrumentation (WMI-Out)","Windows Management Instrumentation (WMI)",TCP,Any,,"%SystemRoot%\system32\svchost.exe",winmgmt,Any,"Outbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]"
"iSCSI Service (TCP-Out)","iSCSI Service",TCP,Any,,"%SystemRoot%\system32\svchost.exe",Msiscsi,Any,"Outbound rule for the iSCSI Service to allow communications with an iSCSI server or device. [TCP]"
